Y-coord,X-coord,OTP (1),Detox (2),Res (3),OP (4),FQHC (5),SPC (5),PCP (6),Emergency (7),Capacity,Provider Type,Usage,Waitlist,In Area,Name and Address,Target Pop
37.2537,-121.9527,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3558912,-122.09047,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3979,-122.0875,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134795,-121.93426,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2517,-121.9508,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3114077,-121.93694,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2593,-121.9479,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3157,-121.9371,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4483,-122.1569,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4162,-122.1722,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3131118,-121.87819,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2689,-122.0424,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4414,-122.1686,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3018074,-121.91411,0,0,0,0,0,0,0,0,0,bup,,,,,
37.359662,-121.8483,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3157,-121.9371,0,0,0,0,0,0,0,0,0,bup,,,,,
37.359662,-121.8483,0,0,0,0,0,0,0,0,0,bup,,,,,
37.350283,-121.90369,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2650773,-121.94025,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4177563,-122.12351,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2760683,-121.93214,0,0,0,0,0,0,0,0,0,bup,,,,,
37.7572886,-122.40603,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4330651,-122.17527,0,0,0,0,0,0,0,0,0,bup,,,,,
37.0112,-121.55705,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3517326,-121.90636,0,0,0,0,0,0,0,0,0,bup,,,,,
37.401809,-121.8873,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3647219,-121.85224,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2582772,-121.78076,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3695173,-121.98199,0,0,0,0,0,0,0,0,0,bup,,,,,
37.253693,-121.95273,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3096222,-121.81945,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2676887,-121.95661,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3517326,-121.90636,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3266423,-121.9403,0,0,0,0,0,0,0,0,0,bup,,,,,
40.791484,-73.952012,0,0,0,0,0,0,0,0,0,bup,,,,,
37.364847,-122.02339,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134795,-121.93426,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4365036,-122.17839,0,0,0,0,0,0,0,0,0,bup,,,,,
37.405619,-122.14033,0,0,0,0,0,0,0,0,0,bup,,,,,
37.7635228,-122.45681,0,0,0,0,0,0,0,0,0,bup,,,,,
30.2772353,-97.73505,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4386414,-122.17067,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2536927,-121.95273,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3210626,-121.82848,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3885515,-121.97053,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134795,-121.93426,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3158737,-121.93713,0,0,0,0,0,0,0,0,0,bup,,,,,
37.326606,-121.94029,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3042909,-121.76936,0,0,0,0,0,0,0,0,0,bup,,,,,
37.364847,-122.02339,0,0,0,0,0,0,0,0,0,bup,,,,,
