"-8",-11,pinellas
3,-2,pinellas
1,-1,pinellas
"-3",-4,pinellas
"-5",-16,pinellas
5,-18,stpetersburg
2,-5,pinellas
6,-6,stpetersburg
"-1",-11,stpetersburg
"-10",7,pinellas
"-2",-12,stpetersburg
"-7",12,pinellas
6,-10,stpetersburg
2,13,pinellas
"-1",-3,pinellas
"-3",-5,pinellas
"-10",-1,pinellas
"-1",-14,pinellas
"-10",-10,pinellas
5,3,pinellas
"-4",-7,pinellas
11,-14,stpetersburg
"-5",-4,pinellas
"-1",-8,stpetersburg
0,20,pinellas
"-3",-10,pinellas
0,-1,largo
5,-11,stpetersburg
"-5",-13,pinellas
"-1",-9,stpetersburg
2,-11,stpetersburg
"-2",-1,largo
9,-19,stpetersburg
"-6",1,largo
"-4",-5,pinellas
"-1",9,clearwater
"-2",16,pinellas
12,-18,stpetersburg
"-10",21,pinellas
1,-17,stpetersburg
3,-6,pinellas
2,2,pinellas
"-4",-4,pinellas
4,-2,pinellas
0,17,pinellas
"-3",4,clearwater
2,16,pinellas
"-4",-10,pinellas
5,-6,stpetersburg
"-5",14,pinellas
1,0,pinellas
"-7",-9,pinellas
"-7",0,pinellas
"-5",10,pinellas
5,-4,stpetersburg
"-6",-20,pinellas
"-12",1,pinellas
"-8",-9,pinellas
"-5",4,pinellas
2,-6,pinellas
1,-10,stpetersburg
"-5",-3,pinellas
"-3",7,clearwater
0,-13,pinellas
8,-20,stpetersburg
"-1",11,pinellas
"-4",6,clearwater
1,9,clearwater
4,0,pinellas
2,0,pinellas
"-6",-5,pinellas
1,6,clearwater
"-4",18,pinellas
5,16,pinellas
"-1",1,largo
"-3",2,largo
3,11,pinellas
"-1",-10,stpetersburg
4,-6,pinellas
"-9",7,pinellas
"-2",7,clearwater
"-10",9,pinellas
"-10",-4,pinellas
"-5",0,largo
8,-11,stpetersburg
"-4",17,pinellas
5,-12,stpetersburg
0,-14,pinellas
"-3",0,pinellas
"-3",-11,pinellas
4,-7,pinellas
"-7",-1,largo
5,-3,stpetersburg
10,2,pinellas
"-4",-16,pinellas
8,-8,stpetersburg
"-3",11,pinellas
"-3",20,pinellas
6,-2,stpetersburg
1,1,pinellas
11,-11,stpetersburg
"-9",6,pinellas
1,-9,stpetersburg
"-2",-20,pinellas
"-8",1,pinellas
8,-7,stpetersburg
4,-10,stpetersburg
10,-13,stpetersburg
0,21,pinellas
"-3",17,pinellas
"-8",17,pinellas
6,-16,stpetersburg
"-6",11,pinellas
"-7",9,clearwater
1,-15,stpetersburg
5,-16,stpetersburg
5,15,pinellas
"-7",4,clearwater
"-2",-11,pinellas
7,-11,stpetersburg
2,15,pinellas
"-2",-4,pinellas
3,-20,stpetersburg
3,21,pinellas
"-6",15,pinellas
0,-16,pinellas
2,-17,stpetersburg
12,-11,stpetersburg
3,9,pinellas
"-1",-21,pinellas
"-1",-7,pinellas
"-10",6,pinellas
7,-18,stpetersburg
3,-11,stpetersburg
"-12",-1,pinellas
"-8",21,pinellas
1,-22,pinellas
"-7",5,clearwater
"-3",9,pinellas
10,-4,stpetersburg
"-1",-5,pinellas
4,-12,stpetersburg
"-3",-6,pinellas
3,-12,stpetersburg
"-3",1,largo
"-8",11,pinellas
"-11",6,pinellas
12,-12,stpetersburg
4,21,pinellas
"-10",13,pinellas
11,-20,stpetersburg
"-3",-19,pinellas
"-11",-6,pinellas
"-2",-10,stpetersburg
"-1",-17,pinellas
1,16,pinellas
"-7",14,pinellas
0,16,pinellas
10,-16,stpetersburg
10,1,pinellas
9,-12,stpetersburg
"-2",0,largo
"-5",11,pinellas
"-4",-6,pinellas
13,-20,stpetersburg
"-5",18,pinellas
"-7",-8,pinellas
"-8",-7,pinellas
"-5",13,pinellas
"-4",19,pinellas
3,17,pinellas
8,-6,stpetersburg
2,-8,stpetersburg
"-8",5,pinellas
"-6",-1,pinellas
"-1",20,pinellas
1,-6,pinellas
"-11",-4,pinellas
3,-3,pinellas
11,-7,stpetersburg
2,6,clearwater
13,-11,stpetersburg
9,-6,stpetersburg
1,14,pinellas
3,-15,stpetersburg
"-2",5,clearwater
"-4",12,pinellas
2,-16,stpetersburg
8,-5,stpetersburg
4,15,pinellas
"-6",4,pinellas
"-9",19,pinellas
4,1,stpetersburg
"-3",21,pinellas
"-7",20,pinellas
1,-5,pinellas
5,-1,stpetersburg
"-11",8,pinellas
"-5",-5,pinellas
0,-15,pinellas
"-2",-5,pinellas
"-9",-3,pinellas
4,-4,pinellas
"-5",-2,pinellas
"-3",-16,pinellas
"-11",4,pinellas
"-10",0,pinellas
4,2,pinellas
"-6",10,pinellas
"-6",9,pinellas
"-6",-11,pinellas
4,18,pinellas
7,-7,stpetersburg
"-2",-8,stpetersburg
"-5",-18,pinellas
"-7",-5,pinellas
2,4,pinellas
5,5,pinellas
"-3",-1,pinellas
7,-17,stpetersburg
4,12,pinellas
10,0,pinellas
6,-3,stpetersburg
3,-13,stpetersburg
"-6",-6,pinellas
6,1,stpetersburg
5,13,pinellas
3,-19,stpetersburg
"-8",8,clearwater
"-1",2,largo
10,-10,stpetersburg
"-7",-12,pinellas
11,-9,stpetersburg
"-1",-4,pinellas
10,-18,stpetersburg
7,-8,stpetersburg
"-10",-2,pinellas
"-9",10,pinellas
"-10",19,pinellas
5,-7,stpetersburg
"-3",-12,pinellas
5,-10,stpetersburg
"-1",7,clearwater
"-11",0,pinellas
9,-3,pinellas
0,4,clearwater
"-5",-15,pinellas
"-10",10,pinellas
"-6",-7,pinellas
"-4",8,pinellas
3,3,pinellas
0,-9,stpetersburg
5,8,pinellas
"-6",5,clearwater
5,9,pinellas
6,-17,stpetersburg
"-9",-5,pinellas
"-9",-10,pinellas
"-9",12,pinellas
"-1",-12,stpetersburg
"-8",10,pinellas
1,4,pinellas
12,-13,stpetersburg
"-9",11,pinellas
"-3",-14,pinellas
10,-11,stpetersburg
"-2",13,pinellas
3,12,pinellas
10,-9,stpetersburg
6,3,pinellas
"-3",-8,pinellas
7,-19,stpetersburg
"-2",11,pinellas
"-11",15,pinellas
0,-19,pinellas
0,18,pinellas
"-8",19,pinellas
12,-10,stpetersburg
2,-19,stpetersburg
0,11,clearwater
"-11",-3,pinellas
1,21,pinellas
"-7",1,pinellas
5,11,pinellas
13,-16,stpetersburg
"-10",-7,pinellas
"-4",-9,pinellas
"-8",14,pinellas
4,-14,stpetersburg
3,4,pinellas
4,19,pinellas
8,-12,stpetersburg
2,7,pinellas
"-6",-4,pinellas
"-2",-6,pinellas
11,-4,stpetersburg
"-3",19,pinellas
11,-6,stpetersburg
"-9",20,pinellas
3,15,pinellas
"-3",6,clearwater
"-12",-3,pinellas
"-2",9,pinellas
"-4",11,pinellas
"-4",13,pinellas
8,-2,stpetersburg
"-10",17,pinellas
6,-5,stpetersburg
"-7",18,pinellas
1,-11,stpetersburg
2,1,pinellas
"-9",2,pinellas
0,-12,pinellas
"-7",3,clearwater
12,-5,stpetersburg
2,-2,pinellas
"-3",-20,pinellas
5,-15,stpetersburg
"-1",-19,pinellas
3,-14,stpetersburg
1,19,pinellas
5,-9,stpetersburg
0,-4,pinellas
"-10",-6,pinellas
5,0,stpetersburg
7,-13,stpetersburg
7,2,pinellas
"-4",0,largo
"-7",10,pinellas
13,-19,stpetersburg
12,-4,stpetersburg
3,19,pinellas
2,12,pinellas
8,-18,stpetersburg
"-7",19,pinellas
"-4",20,pinellas
6,-11,stpetersburg
"-6",-3,pinellas
1,-4,pinellas
3,-4,pinellas
"-4",1,largo
0,-20,pinellas
4,16,pinellas
"-3",-13,pinellas
5,2,pinellas
"-10",15,pinellas
"-2",-9,stpetersburg
"-2",4,clearwater
"-9",-9,pinellas
7,-12,stpetersburg
2,8,pinellas
2,-12,stpetersburg
3,16,pinellas
"-3",-9,pinellas
7,-14,stpetersburg
5,7,pinellas
1,-7,pinellas
1,13,pinellas
"-9",3,pinellas
7,-10,stpetersburg
2,-20,stpetersburg
12,-7,stpetersburg
5,21,pinellas
2,-10,stpetersburg
"-7",11,pinellas
9,-9,stpetersburg
"-1",21,pinellas
"-1",18,pinellas
"-2",-2,pinellas
"-7",-6,pinellas
1,12,pinellas
"-8",-3,pinellas
"-7",-11,pinellas
3,14,pinellas
"-8",-1,pinellas
"-2",-3,pinellas
"-3",14,pinellas
2,-13,pinellas
"-10",-5,pinellas
"-8",-5,pinellas
5,20,pinellas
"-6",8,pinellas
6,-7,stpetersburg
"-11",-2,pinellas
3,20,pinellas
"-7",7,clearwater
9,-11,stpetersburg
6,-18,stpetersburg
8,3,pinellas
"-11",13,pinellas
10,-12,stpetersburg
6,-8,stpetersburg
5,-14,stpetersburg
"-9",1,pinellas
"-5",-8,pinellas
"-1",12,pinellas
"-10",11,pinellas
13,-13,stpetersburg
"-8",-8,pinellas
7,-2,stpetersburg
"-4",14,pinellas
5,-20,stpetersburg
"-4",10,pinellas
"-6",21,pinellas
12,-15,stpetersburg
6,2,pinellas
13,-12,stpetersburg
7,-20,stpetersburg
"-11",-7,pinellas
5,-2,stpetersburg
"-12",-5,pinellas
"-5",-19,pinellas
"-5",-7,pinellas
5,12,pinellas
2,-9,stpetersburg
2,9,pinellas
1,-2,pinellas
"-11",20,pinellas
"-9",16,pinellas
"-2",12,pinellas
"-7",21,pinellas
9,-8,stpetersburg
"-2",-18,pinellas
"-4",-11,pinellas
"-4",4,clearwater
0,9,clearwater
"-1",13,pinellas
"-3",10,pinellas
5,-17,stpetersburg
"-11",5,pinellas
"-7",-14,pinellas
"-1",4,clearwater
"-9",-7,pinellas
5,14,pinellas
"-9",21,pinellas
"-2",10,pinellas
5,6,clearwater
"-2",19,pinellas
"-12",0,pinellas
"-3",-17,pinellas
"-6",-12,pinellas
"-12",18,pinellas
4,-18,stpetersburg
10,-6,stpetersburg
"-1",-15,pinellas
2,18,pinellas
"-10",-11,pinellas
"-1",5,clearwater
"-8",12,pinellas
5,1,stpetersburg
8,-10,stpetersburg
"-2",1,largo
4,-11,stpetersburg
"-12",2,pinellas
"-6",-14,pinellas
2,-15,stpetersburg
0,-3,pinellas
"-5",19,pinellas
1,8,clearwater
"-12",20,pinellas
"-9",-2,pinellas
0,-22,pinellas
4,7,pinellas
"-11",17,pinellas
"-2",-16,pinellas
11,-18,stpetersburg
"-9",15,pinellas
"-9",13,pinellas
9,-7,stpetersburg
6,0,stpetersburg
"-6",7,clearwater
8,-3,stpetersburg
4,17,pinellas
"-4",-15,pinellas
9,-20,stpetersburg
8,-14,stpetersburg
11,-1,pinellas
"-8",6,clearwater
3,-5,pinellas
5,18,pinellas
"-1",8,pinellas
4,8,pinellas
12,-6,stpetersburg
1,11,clearwater
9,-13,stpetersburg
"-7",17,pinellas
"-6",3,pinellas
4,5,clearwater
"-1",0,largo
"-1",-13,pinellas
11,-15,stpetersburg
3,13,pinellas
10,-19,stpetersburg
7,3,pinellas
9,-17,stpetersburg
5,17,pinellas
9,-10,stpetersburg
11,-5,stpetersburg
3,18,pinellas
0,-7,pinellas
"-5",-11,pinellas
"-11",-1,pinellas
"-4",-8,pinellas
2,-4,pinellas
"-12",-2,pinellas
"-7",13,pinellas
"-9",9,pinellas
"-1",-16,pinellas
"-3",13,pinellas
"-2",18,pinellas
4,9,pinellas
"-10",2,pinellas
"-9",8,pinellas
"-6",-2,pinellas
10,-3,pinellas
8,2,pinellas
8,-16,stpetersburg
9,-1,pinellas
"-5",5,clearwater
"-5",6,clearwater
"-11",3,pinellas
"-8",18,pinellas
"-1",-1,largo
1,-18,stpetersburg
4,-9,stpetersburg
0,0,pinellas
3,-16,stpetersburg
"-1",19,pinellas
0,19,pinellas
"-7",6,clearwater
5,-5,stpetersburg
"-2",3,pinellas
"-8",-2,pinellas
"-7",-2,pinellas
4,6,clearwater
6,-4,stpetersburg
8,-15,stpetersburg
3,-1,pinellas
"-8",2,pinellas
"-5",-14,pinellas
7,-9,stpetersburg
"-6",17,pinellas
"-8",-10,pinellas
"-3",18,pinellas
1,-14,pinellas
"-6",6,clearwater
12,-14,stpetersburg
13,-17,stpetersburg
9,-15,stpetersburg
"-3",-7,pinellas
"-9",-8,pinellas
3,-7,pinellas
4,13,pinellas
1,-8,stpetersburg
"-2",6,clearwater
13,-9,stpetersburg
3,-10,stpetersburg
